,id,carat,cut,color,clarity,depth,table,x,y,z,price
0,0,0.53,3,5,3,63.4,54.0,5.09,5.13,3.24,7.057
1,1,0.41,5,8,3,63.0,56.0,4.8,4.75,3.01,6.824
2,2,0.32,5,3,4,61.6,56.0,4.37,4.39,2.7,6.107
3,3,0.31,5,4,6,61.2,56.0,4.34,4.37,2.66,6.39
4,4,1.35,4,2,4,60.5,56.0,7.19,7.12,4.33,8.741
5,5,0.9,5,6,3,61.8,57.0,6.19,6.21,3.83,8.281
6,6,1.01,3,6,3,60.8,59.0,6.49,6.53,3.96,8.491
7,7,1.31,4,3,2,59.1,59.0,7.2,7.15,4.24,8.656
8,8,1.02,3,8,3,63.3,58.0,6.39,6.35,4.03,8.63
9,9,0.81,3,7,3,61.9,60.0,5.87,5.95,3.66,8.201
10,10,1.01,2,6,4,63.6,59.0,6.36,6.32,4.03,8.716000000000001
11,11,0.7,1,4,3,64.7,58.0,5.59,5.54,3.6,7.626
12,12,0.7,3,3,2,63.2,60.0,5.62,5.55,3.53,7.422000000000001
13,13,0.79,4,4,4,62.6,61.0,5.9,5.86,3.68,7.9110000000000005
14,14,0.58,3,5,6,62.0,57.0,5.33,5.34,3.31,7.638999999999999
15,15,2.08,5,3,2,62.3,56.0,8.16,8.22,5.1,9.625
16,16,0.36,3,8,7,59.0,59.0,4.66,4.69,2.76,7.02
17,17,0.71,5,7,5,61.4,57.0,5.81,5.78,3.56,8.142000000000001
18,18,0.41,3,2,5,63.2,59.0,4.7,4.67,2.96,6.681
19,19,1.5,3,3,4,63.3,55.0,7.3,7.26,4.61,9.163
20,20,0.79,5,6,3,62.0,55.0,5.93,5.95,3.68,8.033
21,21,0.29,5,6,2,60.6,59.0,4.31,4.37,2.63,6.207000000000001
22,22,0.31,3,5,7,62.6,61.0,4.28,4.31,2.69,6.704
23,23,0.5,5,2,4,62.0,56.0,5.08,5.12,3.16,7.061
24,24,0.9,4,5,1,62.3,53.0,6.16,6.12,3.82,7.57
25,25,1.2,2,7,4,63.7,57.0,6.71,6.64,4.25,8.685
26,26,0.71,3,7,3,58.7,61.0,5.83,5.86,3.43,7.82
27,27,0.3,5,5,5,62.2,55.0,4.28,4.31,2.67,6.405
28,28,1.03,4,8,2,61.3,61.0,6.49,6.46,3.97,8.469
29,29,0.31,5,5,8,61.6,56.0,4.37,4.4,2.7,6.732
30,30,0.4,5,2,4,62.9,57.0,4.75,4.7,2.97,6.64
31,31,0.33,3,5,4,61.5,59.4,4.45,4.49,2.75,6.435
32,32,1.02,3,6,2,60.3,59.0,6.5,6.53,3.93,8.353
33,33,0.41,5,4,7,62.7,54.0,4.79,4.78,3.0,7.017
34,34,1.53,5,3,2,62.4,58.0,7.31,7.37,4.58,8.946
35,35,0.7,2,6,7,63.3,56.0,5.64,5.7,3.59,8.105
36,36,0.34,5,7,3,61.2,57.0,4.48,4.51,2.75,6.457000000000001
37,37,0.58,3,5,2,63.3,58.0,5.26,5.29,3.34,7.018
38,38,1.23,5,5,4,61.5,54.0,6.92,6.89,4.25,9.004
39,39,0.9,4,6,2,61.4,58.0,6.13,6.19,3.78,8.193999999999999
40,40,0.5,4,5,6,62.1,61.0,5.1,5.07,3.16,7.499
41,41,2.01,5,6,2,62.3,58.0,8.03,8.01,5.0,9.677999999999999
42,42,0.4,4,8,6,60.4,59.0,4.76,4.77,2.88,7.141
43,43,1.52,5,6,4,62.8,55.0,7.37,7.28,4.6,9.55
44,44,0.54,5,7,4,61.9,57.0,5.2,5.23,3.23,7.47
45,45,0.41,2,8,3,56.5,63.0,4.98,4.94,2.8,6.631
46,46,0.72,5,7,6,62.0,54.9,5.75,5.78,3.57,8.317
47,47,0.41,5,6,7,62.1,57.0,4.79,4.75,2.96,7.212000000000001
48,48,1.38,5,6,4,61.9,55.0,7.16,7.12,4.42,9.324
49,49,0.9,2,4,3,59.0,62.0,6.23,6.27,3.69,8.182
50,50,0.7,3,7,7,63.2,57.0,5.62,5.67,3.57,8.443
51,51,0.9,5,3,2,61.9,57.0,6.19,6.13,3.81,7.976
52,52,1.57,3,4,3,62.0,60.0,7.4,7.44,4.6,9.23
53,53,1.0,3,8,6,61.3,58.0,6.37,6.42,3.92,9.158
54,54,0.3,3,5,7,63.1,56.0,4.28,4.25,2.69,6.921
55,55,0.3,4,3,5,61.9,59.0,4.31,4.24,2.65,6.267
56,56,0.5,5,6,6,61.6,56.0,5.11,5.08,3.14,7.678
57,57,0.81,5,5,3,62.2,57.0,5.97,6.02,3.73,8.068
58,58,0.3,2,3,3,63.4,57.0,4.23,4.25,2.69,5.976
59,59,1.01,4,5,4,59.0,61.0,6.62,6.56,3.89,8.69
60,60,1.67,5,3,5,61.2,57.0,7.69,7.66,4.7,9.287
61,61,0.31,4,4,4,62.5,60.0,4.36,4.31,2.71,6.443
62,62,0.9,1,5,3,65.6,56.0,6.1,6.03,3.98,8.054
63,63,1.4,4,7,2,62.4,57.0,7.17,7.12,4.46,8.724
64,64,1.2,4,3,5,59.9,59.0,6.96,6.87,4.14,8.74
65,65,0.54,5,7,2,60.7,56.0,5.3,5.25,3.2,7.2
66,66,0.9,2,6,2,65.9,60.0,5.98,6.01,3.95,8.15
67,67,0.82,5,8,4,61.9,56.0,5.98,6.03,3.72,8.44
68,68,0.24,3,8,6,58.8,58.0,4.05,4.08,2.39,6.256
69,69,1.01,5,4,3,62.2,57.0,6.43,6.37,3.98,8.484
70,70,0.38,5,6,7,61.1,57.0,4.71,4.69,2.87,7.056
71,71,0.36,5,8,3,62.7,57.0,4.59,4.54,2.86,6.746
72,72,0.3,3,7,7,62.6,56.0,4.26,4.27,2.67,6.7589999999999995
73,73,0.36,5,8,5,61.8,55.0,4.58,4.54,2.82,6.91
74,74,0.35,5,3,4,61.7,57.0,4.56,4.52,2.8,6.446000000000001
75,75,0.4,5,8,7,61.5,55.0,4.78,4.82,2.95,7.211
76,76,0.9,2,6,3,62.7,58.0,6.11,6.13,3.84,8.237
77,77,0.58,5,8,7,60.6,57.0,5.38,5.41,3.27,8.073
78,78,1.0,4,6,4,62.6,60.0,6.29,6.37,3.96,8.757
79,79,0.32,3,5,3,61.0,61.0,4.38,4.41,2.68,6.167999999999999
80,80,0.42,5,8,3,63.0,55.0,4.79,4.76,3.01,6.877000000000001
81,81,0.32,4,4,5,60.6,60.0,4.4,4.44,2.68,6.33
82,82,0.3,3,7,4,62.6,58.0,4.25,4.28,2.67,6.489
83,83,0.4,3,4,4,59.1,61.0,4.81,4.84,2.85,6.603
84,84,1.59,4,7,2,60.5,59.0,7.59,7.55,4.58,9.113999999999999
85,85,1.1,4,4,2,59.5,57.0,6.81,6.74,4.03,8.295
86,86,0.96,4,2,3,60.3,59.0,6.4,6.36,3.85,8.092
87,87,0.41,4,7,3,60.2,60.0,4.78,4.82,2.89,6.627000000000001
88,88,0.71,3,6,2,59.5,58.0,5.82,5.87,3.48,7.662999999999999
89,89,0.4,2,7,2,61.2,61.0,4.71,4.74,2.89,6.377000000000001
90,90,0.46,5,5,7,61.6,55.0,5.0,5.03,3.09,7.496
91,91,0.3,3,7,3,60.6,56.0,4.35,4.37,2.64,6.265
92,92,0.39,2,7,4,63.1,56.0,4.63,4.69,2.94,6.721
93,93,1.07,5,8,8,60.9,54.0,6.66,6.73,4.08,9.743
94,94,0.23,5,4,4,62.3,53.0,3.96,3.99,2.48,6.2379999999999995
95,95,0.23,3,7,6,61.2,58.0,3.93,3.98,2.42,6.273
96,96,1.57,5,3,2,62.6,58.0,7.38,7.41,4.63,9.015
97,97,0.33,5,6,7,61.9,55.0,4.44,4.42,2.74,6.928999999999999
98,98,1.55,3,4,4,63.3,56.0,7.38,7.32,4.65,9.264
99,99,0.51,5,8,4,61.5,57.0,5.11,5.14,3.15,7.4879999999999995
100,100,0.57,5,6,6,61.5,57.0,5.36,5.31,3.28,7.766
101,101,0.3,2,5,7,64.0,57.0,4.27,4.23,2.72,6.778
102,102,0.8,5,5,2,62.5,55.0,5.89,5.92,3.69,7.97
103,103,1.5,3,4,3,62.6,57.0,7.26,7.3,4.56,9.122
104,104,0.38,5,8,5,61.9,53.5,4.66,4.69,2.9,6.891
105,105,0.33,4,8,7,61.8,58.0,4.43,4.4,2.73,7.096
106,106,1.12,5,5,6,62.0,55.0,6.67,6.69,4.14,9.079
107,107,0.42,5,8,3,61.9,56.0,4.84,4.82,2.99,6.947
108,108,1.23,4,3,2,62.5,60.0,6.82,6.75,4.24,8.57
109,109,0.32,5,7,6,62.4,56.0,4.39,4.43,2.75,6.7620000000000005
110,110,0.71,5,8,2,62.5,56.0,5.7,5.73,3.57,7.819
111,111,0.42,4,6,6,61.7,59.0,4.78,4.82,2.96,7.041
112,112,1.28,5,7,5,61.7,57.0,6.93,6.97,4.29,9.343
113,113,0.3,1,6,4,64.5,55.0,4.31,4.19,2.74,6.495
114,114,0.33,4,3,3,62.8,58.0,4.43,4.39,2.77,6.349
115,115,2.03,5,5,2,62.5,56.0,8.1,8.05,5.05,9.711
116,116,0.9,2,5,1,63.6,61.0,6.03,6.07,3.85,7.707999999999999
117,117,0.5,4,3,2,59.8,56.0,5.23,5.18,3.11,6.8020000000000005
118,118,1.02,5,4,4,61.2,56.0,6.53,6.48,3.98,8.578
119,119,1.34,3,8,2,62.3,59.0,6.99,7.03,4.37,8.886000000000001
120,120,0.88,5,6,2,62.2,56.0,6.11,6.17,3.82,8.193999999999999
121,121,0.31,5,8,3,62.5,53.0,4.34,4.37,2.72,6.279
122,122,0.44,5,7,5,61.5,56.0,4.92,4.9,3.02,7.0520000000000005
123,123,0.73,4,3,5,60.3,58.0,5.83,5.87,3.53,7.771
124,124,0.28,3,8,7,60.6,58.0,4.23,4.25,2.57,6.465
125,125,1.54,5,5,5,62.3,57.0,7.35,7.38,4.59,9.536
126,126,0.91,3,4,2,63.4,57.0,6.1,6.18,3.89,8.126
127,127,0.7,4,8,2,60.8,61.0,5.69,5.64,3.45,7.593999999999999
128,128,0.31,4,3,3,61.4,61.0,4.39,4.34,2.68,6.26
129,129,0.9,2,5,3,65.2,58.0,6.0,6.06,3.93,8.208
130,130,0.55,5,6,6,62.3,54.0,5.29,5.27,3.29,7.856
131,131,0.3,5,2,5,62.0,57.0,4.28,4.3,2.66,6.019
132,132,0.9,4,6,2,58.9,59.0,6.31,6.26,3.7,8.244
133,133,1.5,5,4,3,61.3,57.0,7.38,7.4,4.53,9.28
134,134,1.52,4,4,6,63.0,60.0,7.3,7.25,4.58,9.394
135,135,0.7,1,7,4,65.7,55.0,5.45,5.51,3.6,7.7989999999999995
136,136,0.4,1,7,6,57.3,60.0,4.84,4.89,2.79,6.974
137,137,0.39,5,8,5,61.9,57.0,4.71,4.69,2.91,7.065
138,138,0.28,3,5,6,61.1,56.0,4.25,4.27,2.6,6.257999999999999
139,139,0.73,5,7,2,60.4,56.0,5.81,5.89,3.54,7.797000000000001
140,140,1.28,2,4,2,63.8,55.0,6.84,6.79,4.35,8.415
141,141,1.01,5,5,4,61.0,56.0,6.47,6.51,3.96,8.815
142,142,0.52,3,5,5,62.3,58.0,5.14,5.17,3.21,7.396
143,143,2.0,5,3,3,62.8,56.0,8.04,7.95,5.02,9.633
144,144,0.71,4,8,3,59.7,59.0,5.82,5.8,3.47,7.96
145,145,2.23,4,2,2,61.3,60.0,8.4,8.35,5.13,9.542
146,146,0.71,3,3,3,60.4,63.0,5.73,5.8,3.48,7.563
147,147,0.31,5,3,7,62.0,54.0,4.37,4.4,2.72,6.3229999999999995
148,148,0.65,4,3,2,60.7,58.0,5.65,5.62,3.42,7.106
149,149,0.71,5,8,5,60.9,57.0,5.74,5.76,3.5,8.166
150,150,0.41,4,7,5,60.7,58.0,4.83,4.79,2.92,7.05
151,151,1.71,3,6,5,61.9,61.0,7.61,7.67,4.73,9.78
152,152,0.91,3,5,5,63.1,61.0,6.13,6.07,3.85,8.42
153,153,1.01,4,7,4,60.2,58.0,6.56,6.52,3.94,8.754
154,154,0.51,5,5,6,61.9,55.0,5.14,5.17,3.19,7.563
155,155,0.3,4,5,3,62.5,61.0,4.29,4.26,2.67,6.209
156,156,1.6,4,5,4,61.6,60.0,7.55,7.49,4.63,9.543
157,157,0.38,4,7,7,60.6,59.0,4.62,4.65,2.81,6.954
158,158,0.43,3,5,6,62.3,60.0,4.78,4.85,3.0,6.962000000000001
159,159,0.32,5,6,6,61.4,57.0,4.41,4.45,2.72,6.59
160,160,0.71,4,3,3,61.7,56.0,5.73,5.71,3.53,7.481
161,161,1.01,3,5,5,61.9,58.0,6.42,6.5,4.0,8.725
